Video_ID,Creator name,Video_URL,Headline,Article,Article_Thumbnail,Category,Creator_Profile_Picture,Creator_Banner,Creator_Followers,Creator_Posts,Creator_Likes,Likes,Shares,Publish_Date,Creator_Name
V11,Vice News,https://drive.google.com/file/d/video_11/view?usp=sharing,Vaccination Campaign Success,"National vaccination campaign achieves high coverage rates, contributing to improved public health outcomes across all provinces.",https://drive.google.com/file/d/article_thumb_11/view?usp=sharing,Health,https://drive.google.com/file/d/creator_creator2_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator2_banner/view?usp=sharing,141175,307,2758678,2759,123,2025-05-29,
V12,Vice News,https://drive.google.com/file/d/video_12/view?usp=sharing,Space Mission Partnership,International space mission partnership provides opportunities for Cambodian students and researchers in aerospace technology.,https://drive.google.com/file/d/article_thumb_12/view?usp=sharing,Science,https://drive.google.com/file/d/creator_creator2_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator2_banner/view?usp=sharing,102715,422,2640917,2794,200,2025-06-12,
V13,BBC News,https://drive.google.com/file/d/video_13/view?usp=sharing,Blockchain Adoption in Banking,Major banks in Cambodia are implementing blockchain technology for secure transactions and improved financial services. This advancement positions the country as a leader in fintech innovation.,https://drive.google.com/file/d/article_thumb_13/view?usp=sharing,Tech,https://drive.google.com/file/d/creator_creator3_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator3_banner/view?usp=sharing,136172,427,3655123,3617,339,2025-05-29,
V14,BBC News,https://drive.google.com/file/d/video_14/view?usp=sharing,Basketball League Season Begins,The professional basketball league kicks off its new season with improved facilities and increased international participation.,https://drive.google.com/file/d/article_thumb_14/view?usp=sharing,Sports,https://drive.google.com/file/d/creator_creator3_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator3_banner/view?usp=sharing,176678,220,3159070,2576,94,2025-06-05,
V15,BBC News,https://drive.google.com/file/d/video_15/view?usp=sharing,Celebrity News Update,"Entertainment industry news covers celebrity appearances, new movie releases, and cultural events happening across the country.",https://drive.google.com/file/d/article_thumb_15/view?usp=sharing,Entertainment,https://drive.google.com/file/d/creator_creator3_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator3_banner/view?usp=sharing,100801,247,1925868,3025,173,2025-06-08,
V16,BBC News,https://drive.google.com/file/d/video_16/view?usp=sharing,Digital Payment Solutions,"Digital payment solutions revolutionize financial transactions, making banking services more accessible to rural populations.",https://drive.google.com/file/d/article_thumb_16/view?usp=sharing,Business,https://drive.google.com/file/d/creator_creator3_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator3_banner/view?usp=sharing,155466,283,2495221,4787,370,2025-05-18,
V17,BBC News,https://drive.google.com/file/d/video_17/view?usp=sharing,Mental Health Awareness,"Mental health awareness programs launch nationwide, addressing stigma and providing resources for psychological wellbeing.",https://drive.google.com/file/d/article_thumb_17/view?usp=sharing,Health,https://drive.google.com/file/d/creator_creator3_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator3_banner/view?usp=sharing,79660,290,2089507,1291,44,2025-06-01,
V18,BBC News,https://drive.google.com/file/d/video_18/view?usp=sharing,Scientific Discovery Announced,Scientific discovery in biodiversity research highlights Cambodia's rich ecosystems and conservation importance.,https://drive.google.com/file/d/article_thumb_18/view?usp=sharing,Science,https://drive.google.com/file/d/creator_creator3_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator3_banner/view?usp=sharing,77098,392,3958075,2790,255,2025-06-06,
V19,Morning Brew,https://drive.google.com/file/d/video_19/view?usp=sharing,Smart City Initiative Launches,"The government launches comprehensive smart city initiative featuring IoT sensors, digital governance platforms, and sustainable urban planning solutions.",https://drive.google.com/file/d/article_thumb_19/view?usp=sharing,Tech,https://drive.google.com/file/d/creator_creator4_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator4_banner/view?usp=sharing,97195,398,1768232,3098,150,2025-06-13,
V20,Morning Brew,https://drive.google.com/file/d/video_20/view?usp=sharing,Swimming Records Broken,"Local swimmers break multiple national records at the recent aquatic championships, showcasing the country's growing athletic talent.",https://drive.google.com/file/d/article_thumb_20/view?usp=sharing,Sports,https://drive.google.com/file/d/creator_creator4_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator4_banner/view?usp=sharing,175167,441,3637417,4165,131,2025-06-01,
V21,Morning Brew,https://drive.google.com/file/d/video_21/view?usp=sharing,Gaming Championship Finals,Gaming championship finals attract thousands of spectators as esports continues to gain popularity among Cambodian youth.,https://drive.google.com/file/d/article_thumb_21/view?usp=sharing,Entertainment,https://drive.google.com/file/d/creator_creator4_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator4_banner/view?usp=sharing,136858,429,3412385,4520,248,2025-05-25,
V22,Morning Brew,https://drive.google.com/file/d/video_22/view?usp=sharing,Small Business Support,Government initiatives support small and medium enterprises through funding programs and business development resources.,https://drive.google.com/file/d/article_thumb_22/view?usp=sharing,Business,https://drive.google.com/file/d/creator_creator4_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator4_banner/view?usp=sharing,129172,315,2300334,2008,73,2025-05-22,
V23,Morning Brew,https://drive.google.com/file/d/video_23/view?usp=sharing,Medical Research Breakthrough,Medical research breakthrough in tropical disease treatment promises to improve healthcare outcomes for millions in the region.,https://drive.google.com/file/d/article_thumb_23/view?usp=sharing,Health,https://drive.google.com/file/d/creator_creator4_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator4_banner/view?usp=sharing,193805,377,2159180,1383,113,2025-05-28,
V24,Morning Brew,https://drive.google.com/file/d/video_24/view?usp=sharing,Research Collaboration,Research collaboration between universities promotes innovation and knowledge exchange in various scientific fields.,https://drive.google.com/file/d/article_thumb_24/view?usp=sharing,Science,https://drive.google.com/file/d/creator_creator4_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator4_banner/view?usp=sharing,182642,205,3751484,3245,208,2025-05-15,
V25,Max Foster,https://drive.google.com/file/d/video_25/view?usp=sharing,Cybersecurity Threats Rise,Cybersecurity experts warn of increasing digital threats as Cambodia's online presence grows. New protection measures and awareness campaigns are being implemented.,https://drive.google.com/file/d/article_thumb_25/view?usp=sharing,Tech,https://drive.google.com/file/d/creator_creator5_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator5_banner/view?usp=sharing,183796,228,2870722,4384,235,2025-05-16,
V26,Max Foster,https://drive.google.com/file/d/video_26/view?usp=sharing,Martial Arts Tournament Success,Traditional martial arts tournament celebrates Cambodian heritage while promoting sports tourism and cultural exchange.,https://drive.google.com/file/d/article_thumb_26/view?usp=sharing,Sports,https://drive.google.com/file/d/creator_creator5_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator5_banner/view?usp=sharing,107501,295,1546400,2010,177,2025-06-13,
V27,Max Foster,https://drive.google.com/file/d/video_27/view?usp=sharing,Art Exhibition Opening,Contemporary art exhibition showcases emerging Cambodian artists and their innovative approaches to traditional themes.,https://drive.google.com/file/d/article_thumb_27/view?usp=sharing,Entertainment,https://drive.google.com/file/d/creator_creator5_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator5_banner/view?usp=sharing,111458,396,3228597,2620,142,2025-05-23,
V28,Max Foster,https://drive.google.com/file/d/video_28/view?usp=sharing,Export Market Expansion,Export markets expand as Cambodian products gain international recognition for quality and competitive pricing.,https://drive.google.com/file/d/article_thumb_28/view?usp=sharing,Business,https://drive.google.com/file/d/creator_creator5_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator5_banner/view?usp=sharing,83263,277,3444323,2431,52,2025-05-21,
V29,Max Foster,https://drive.google.com/file/d/video_29/view?usp=sharing,Healthcare Technology,"Healthcare technology integration enhances patient care through telemedicine, digital records, and remote monitoring systems.",https://drive.google.com/file/d/article_thumb_29/view?usp=sharing,Health,https://drive.google.com/file/d/creator_creator5_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator5_banner/view?usp=sharing,85804,207,1710118,4275,195,2025-05-25,
V30,Max Foster,https://drive.google.com/file/d/video_30/view?usp=sharing,Environmental Conservation,Environmental conservation efforts combine traditional knowledge with modern scientific approaches for sustainable development.,https://drive.google.com/file/d/article_thumb_30/view?usp=sharing,Science,https://drive.google.com/file/d/creator_creator5_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator5_banner/view?usp=sharing,176867,436,3479930,3935,109,2025-06-13,
V31,Yahoo News,https://drive.google.com/file/d/video_31/view?usp=sharing,Tech Startup Funding Surges,"Tech startups in Cambodia receive record funding rounds, indicating strong investor confidence in the country's digital transformation potential.",https://drive.google.com/file/d/article_thumb_31/view?usp=sharing,Tech,https://drive.google.com/file/d/creator_creator6_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator6_banner/view?usp=sharing,149364,437,1574259,2376,141,2025-06-01,
V32,Yahoo News,https://drive.google.com/file/d/video_32/view?usp=sharing,Sports Tourism Boom,Sports tourism experiences significant growth as international visitors come to experience Cambodia's unique athletic culture and events.,https://drive.google.com/file/d/article_thumb_32/view?usp=sharing,Sports,https://drive.google.com/file/d/creator_creator6_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator6_banner/view?usp=sharing,99816,370,1722761,3427,311,2025-06-03,
V33,Yahoo News,https://drive.google.com/file/d/video_33/view?usp=sharing,Streaming Platform Launch,"New streaming platform launches with focus on Southeast Asian content, providing opportunities for local content creators.",https://drive.google.com/file/d/article_thumb_33/view?usp=sharing,Entertainment,https://drive.google.com/file/d/creator_creator6_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator6_banner/view?usp=sharing,182192,206,3262223,2987,213,2025-05-16,
V34,Yahoo News,https://drive.google.com/file/d/video_34/view?usp=sharing,Economic Recovery Updates,"Economic recovery indicators show positive trends in GDP growth, employment rates, and business confidence levels.",https://drive.google.com/file/d/article_thumb_34/view?usp=sharing,Business,https://drive.google.com/file/d/creator_creator6_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator6_banner/view?usp=sharing,168706,260,2658500,1576,106,2025-05-20,
V35,Yahoo News,https://drive.google.com/file/d/video_35/view?usp=sharing,Public Health Guidelines,Updated public health guidelines provide clear recommendations for disease prevention and healthy lifestyle practices.,https://drive.google.com/file/d/article_thumb_35/view?usp=sharing,Health,https://drive.google.com/file/d/creator_creator6_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator6_banner/view?usp=sharing,162519,389,2840341,4422,192,2025-05-15,
V36,Yahoo News,https://drive.google.com/file/d/video_36/view?usp=sharing,Innovation Lab Opening,"New innovation laboratory opens to support scientific research, technology development, and entrepreneurship initiatives.",https://drive.google.com/file/d/article_thumb_36/view?usp=sharing,Science,https://drive.google.com/file/d/creator_creator6_profile/view?usp=sharing,https://drive.google.com/file/d/creator_creator6_banner/view?usp=sharing,119957,373,2999369,4270,409,2025-06-08,
